seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0296,0.3333,0.8333,0.4762,0.0812,0.0,0.016
1,6,0.0306,0.3125,0.8333,0.4545,0.1106,0.0051,0.0
2,6,0.0296,0.2632,0.8333,0.4,0.0616,0.0157,0.0
3,6,0.0322,0.2,0.5,0.2857,0.1709,0.0157,0.0
4,6,0.0285,0.4,1.0,0.5714,0.0056,0.016,0.0
5,6,0.0464,0.1818,0.3333,0.2353,0.3571,0.0159,0.0
6,6,0.0285,0.3529,1.0,0.5217,0.0098,0.0,0.016
7,6,0.0302,0.625,0.8333,0.7143,0.0966,0.0157,0.0
8,6,0.0487,0.1818,0.3333,0.2353,0.3782,0.0,0.0135
9,6,0.0286,0.5,0.8333,0.625,0.0154,0.0159,0.0
10,6,0.029,0.3846,0.8333,0.5263,0.0448,0.016,0.0
11,6,0.0757,0.2143,0.5,0.3,0.3347,0.0,0.0157
12,6,0.0383,0.3333,0.5,0.4,0.1863,0.0,0.0
13,6,0.0294,0.3571,0.8333,0.5,0.0686,0.016,0.0
14,6,0.0342,0.2941,0.8333,0.4348,0.1555,0.005,0.0
