seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,1,0.0519,0.0714,0.1667,0.1000,0.5287,819.0447,809.8594
0,2,0.0608,0.1250,0.1667,0.1429,0.5539,1157.9205,1131.1110
0,3,0.0876,0.1667,0.3333,0.2222,0.6246,1570.8164,1513.1389
1,1,0.0480,0.0000,0.0000,0.0000,0.4622,872.9358,828.4814
1,2,0.0552,0.0909,0.1667,0.1176,0.5413,1169.4823,1150.7493
1,3,0.1240,0.2000,0.5000,0.2857,0.6996,1601.8975,1522.7299
2,1,0.0764,0.1333,0.3333,0.1905,0.6120,951.1673,900.6320
2,2,0.1240,0.2000,0.5000,0.2857,0.6996,1182.6366,1154.4658
2,3,0.2531,0.2941,0.8333,0.4348,0.8662,1611.9266,1509.5339
3,1,0.0619,0.0619,1.0000,0.1165,0.6176,885.6366,840.2139
3,2,0.0422,0.0132,0.1667,0.0244,0.2682,772.4104,703.4814
3,3,0.0433,0.0339,0.3333,0.0615,0.4272,961.9462,930.6520
4,1,0.1154,0.1154,1.0000,0.2069,0.8067,572.3450,551.3573
4,2,0.0430,0.0380,0.5000,0.0706,0.4307,720.0189,707.4142
4,3,0.0552,0.0588,0.6667,0.1081,0.5644,1086.3212,1070.9222
5,1,0.1029,0.1579,0.5000,0.2400,0.6828,667.0759,832.3309
5,2,0.0539,0.0833,0.1667,0.1111,0.5371,1181.9504,1153.0947
5,3,0.1240,0.2000,0.5000,0.2857,0.6996,1581.0571,1525.0717
6,1,0.1272,0.2857,0.3333,0.3077,0.6457,879.4274,832.4964
6,2,0.1272,0.2857,0.3333,0.3077,0.6457,1179.3788,1165.6775
6,3,0.1061,0.2222,0.3333,0.2667,0.6373,1600.1403,1533.2388
7,1,0.0480,0.0000,0.0000,0.0000,0.4580,937.3565,835.3768
7,2,0.0480,0.0000,0.0000,0.0000,0.4622,1191.0996,1163.6719
7,3,0.1061,0.2222,0.3333,0.2667,0.6373,1589.8393,1523.8269
8,1,0.0480,0.0000,0.0000,0.0000,0.4874,883.5929,835.5237
8,2,0.0567,0.1000,0.1667,0.1250,0.5455,1184.0174,1155.8510
8,3,0.0480,0.0000,0.0000,0.0000,0.4580,1603.7584,1531.6637
9,1,0.2684,0.3125,0.8333,0.4545,0.8704,882.0825,746.7922
9,2,0.0480,0.0000,0.0000,0.0000,0.4706,2065.8285,698.8476
9,3,0.1061,0.2222,0.3333,0.2667,0.6373,959.7289,922.0531
10,1,0.0558,0.0597,0.6667,0.1096,0.5686,547.9894,516.8892
10,2,0.0444,0.0263,0.1667,0.0455,0.4279,714.4767,857.6843
10,3,0.0495,0.0526,0.3333,0.0909,0.5154,1407.0405,1332.3459
11,1,0.0480,0.0000,0.0000,0.0000,0.4790,768.7393,817.5036
11,2,0.1653,0.4000,0.3333,0.3636,0.6541,1034.8434,1020.4582
11,3,0.3970,0.5714,0.6667,0.6154,0.8207,1382.3485,1123.6643
