seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0327,0.2308,0.5,0.3158,0.1807,12967.923,6930.2052
1,6,0.0309,0.25,0.5,0.3333,0.1218,14843.734,7357.4489
2,6,0.0288,0.5,0.8333,0.625,0.0224,12680.341,6601.4205
3,6,0.0333,0.0909,0.1667,0.1176,0.1933,14626.4541,7409.4365
4,6,0.0385,0.3,0.5,0.375,0.2703,14455.4164,7382.2768
5,6,0.0372,0.1667,0.5,0.25,0.2171,13816.6266,7284.1138
6,6,0.0322,0.2,0.3333,0.25,0.1681,15108.0593,7556.0832
7,6,0.039,0.1538,0.3333,0.2105,0.2717,2502.4845,6795.5367
8,6,0.0299,0.2667,0.6667,0.381,0.07,13817.3958,6695.4788
9,6,0.0287,0.2069,1.0,0.3429,0.0182,15062.8441,7141.3627
10,6,0.0299,0.3077,0.6667,0.4211,0.077,14394.8284,6888.7762
11,6,0.0418,0.0455,0.1667,0.0714,0.3697,9747.4279,5430.089
12,6,0.0469,0.0833,0.1667,0.1111,0.3277,15098.705,7220.1852
13,6,0.0395,0.1818,0.3333,0.2353,0.2997,14970.2143,6878.7461
14,6,0.029,0.5,1.0,0.6667,0.0266,14099.5722,6679.0385
