seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.2222,0.2222,1.0000,0.3636,0.9118,1619.4396,5474.2699
0,7,0.2222,0.2222,1.0000,0.3636,0.9118,1893.2198,6368.3446
0,8,0.1517,0.1724,0.8333,0.2857,0.8158,2203.6982,7408.1563
0,9,0.1714,0.1714,1.0000,0.2927,0.8782,2734.6941,9109.1316
0,10,0.1818,0.1818,1.0000,0.3077,0.8866,3077.8095,10372.3312
0,11,0.1765,0.1765,1.0000,0.3000,0.8824,3614.2791,12137.2525
0,12,0.1538,0.1538,1.0000,0.2667,0.8613,3968.1979,13427.4811
1,6,0.2000,0.2000,1.0000,0.3333,0.8992,2042.9981,6099.6541
0,13,0.1395,0.1395,1.0000,0.2449,0.8445,4727.2191,15988.1867
1,7,0.1875,0.1875,1.0000,0.3158,0.8908,2300.0393,6956.0079
0,15,0.1500,0.1500,1.0000,0.2609,0.8571,5374.3290,17898.3136
1,8,0.1538,0.1538,1.0000,0.2667,0.8613,2686.6310,8089.3164
0,14,0.1364,0.1364,1.0000,0.2400,0.8403,5796.5976,19525.0450
1,9,0.1333,0.1333,1.0000,0.2353,0.8361,3306.4346,9957.7487
0,16,0.1304,0.1304,1.0000,0.2308,0.8319,7010.4822,23536.4990
1,10,0.1364,0.1364,1.0000,0.2400,0.8403,3670.4376,11065.5034
0,17,0.1395,0.1395,1.0000,0.2449,0.8445,7635.0197,25667.2780
1,11,0.1304,0.1304,1.0000,0.2308,0.8319,4308.2350,12940.1434
1,12,0.1200,0.1200,1.0000,0.2143,0.8151,4897.1982,14892.5307
1,13,0.1395,0.1395,1.0000,0.2449,0.8445,5792.7580,17415.9039
0,18,0.1250,0.1250,1.0000,0.2222,0.8235,10633.8957,35859.6688
1,15,0.1304,0.1304,1.0000,0.2308,0.8319,6538.3318,19741.0830
1,14,0.1333,0.1333,1.0000,0.2353,0.8361,7117.5086,21447.3259
1,16,0.1277,0.1277,1.0000,0.2264,0.8277,7669.7477,23148.2341
1,17,0.1277,0.1277,1.0000,0.2264,0.8277,9395.4143,28260.1777
2,6,0.0795,0.0952,0.6667,0.1667,0.6737,1914.6580,5916.6108
2,7,0.0795,0.0952,0.6667,0.1667,0.6737,2242.5522,6858.4201
2,8,0.0810,0.0976,0.6667,0.1702,0.6779,2654.3199,8184.7057
2,9,0.0753,0.0889,0.6667,0.1569,0.6611,3168.8937,9758.2345
2,10,0.0930,0.1020,0.8333,0.1818,0.7318,3611.8504,11111.7033
2,11,0.1006,0.1111,0.8333,0.1961,0.7486,4078.2753,12638.1272
2,12,0.0967,0.1064,0.8333,0.1887,0.7402,4653.2881,14410.1730
3,6,0.1765,0.1765,1.0000,0.3000,0.8824,1672.7769,5496.6580
0,19,0.1304,0.1304,1.0000,0.2308,0.8319,16723.4270,56285.4075
1,18,0.1277,0.1277,1.0000,0.2264,0.8277,12701.1302,38385.3137
2,13,0.1250,0.1250,1.0000,0.2222,0.8235,5466.9538,16912.9054
3,7,0.1875,0.1875,1.0000,0.3158,0.8908,2018.5476,6637.0714
2,15,0.1132,0.1132,1.0000,0.2034,0.8025,6264.7054,19419.4700
3,8,0.1579,0.1579,1.0000,0.2727,0.8655,2324.4567,7648.8562
2,16,0.1071,0.1071,1.0000,0.1935,0.7899,7340.6116,22763.7894
3,9,0.1364,0.1364,1.0000,0.2400,0.8403,2721.3761,8956.5929
2,14,0.1224,0.1224,1.0000,0.2182,0.8193,7573.4586,23317.4839
3,10,0.1364,0.1364,1.0000,0.2400,0.8403,3199.1737,10540.3085
3,11,0.0967,0.1064,0.8333,0.1887,0.7402,3504.6955,11602.0681
3,12,0.0930,0.1020,0.8333,0.1818,0.7318,4062.3350,13376.2114
3,13,0.1200,0.1200,1.0000,0.2143,0.8151,4770.7775,15753.8478
2,17,0.1176,0.1176,1.0000,0.2105,0.8109,9076.1718,28005.9290
4,6,0.1072,0.1190,0.8333,0.2083,0.7612,2126.5876,6262.5697
3,15,0.1176,0.1176,1.0000,0.2105,0.8109,5427.6477,17927.1415
4,7,0.1006,0.1111,0.8333,0.1961,0.7486,2500.5510,7381.2093
3,14,0.1224,0.1224,1.0000,0.2182,0.8193,6036.3324,19925.2977
4,8,0.1049,0.1163,0.8333,0.2041,0.7570,3073.5266,9095.5714
5,6,0.1382,0.1562,0.8333,0.2632,0.8032,1925.7282,5944.3359
4,9,0.0986,0.1087,0.8333,0.1923,0.7444,3465.0007,10224.0679
3,16,0.0897,0.0980,0.8333,0.1754,0.7234,6523.9092,21452.9929
5,7,0.0944,0.1176,0.6667,0.2000,0.7073,2243.9704,6931.2146
2,18,0.1111,0.1111,1.0000,0.2000,0.7983,12420.3539,38319.8082
5,8,0.0901,0.1111,0.6667,0.1905,0.6989,2637.9721,8143.2622
