seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,12,0.2500,0.2500,1.0000,0.4000,0.9244,0.1518,0.1880
0,7,0.2163,0.2500,0.8333,0.3846,0.8536,0.1603,0.1065
0,10,0.1974,0.2273,0.8333,0.3571,0.8452,0.1282,0.1463
0,11,0.1816,0.2083,0.8333,0.3333,0.8368,0.1771,0.1470
0,17,0.2000,0.2000,1.0000,0.3333,0.8992,0.1290,0.1865
0,9,0.2064,0.2381,0.8333,0.3704,0.8494,0.1384,0.1549
0,13,0.2222,0.2222,1.0000,0.3636,0.9118,0.1153,0.1708
0,14,0.2143,0.2143,1.0000,0.3529,0.9076,0.0966,0.1312
1,6,0.2684,0.3125,0.8333,0.4545,0.8704,0.1163,0.2380
0,8,0.2273,0.2632,0.8333,0.4000,0.8578,0.1680,0.1515
1,7,0.2727,0.2727,1.0000,0.4286,0.9328,0.1437,0.0907
1,8,0.2222,0.2222,1.0000,0.3636,0.9118,0.3197,0.1098
1,9,0.2308,0.2308,1.0000,0.3750,0.9160,0.3375,0.2322
0,15,0.2069,0.2069,1.0000,0.3429,0.9034,0.2249,0.1972
1,11,0.2500,0.2500,1.0000,0.4000,0.9244,0.1557,0.1371
1,10,0.1818,0.1818,1.0000,0.3077,0.8866,0.1077,0.1316
0,6,0.2273,0.2632,0.8333,0.4000,0.8578,0.1232,0.1219
0,18,0.2000,0.2000,1.0000,0.3333,0.8992,0.0846,0.0904
0,19,0.2069,0.2069,1.0000,0.3429,0.9034,0.1070,0.2112
1,13,0.2727,0.2727,1.0000,0.4286,0.9328,0.0775,0.1024
0,16,0.1517,0.1724,0.8333,0.2857,0.8158,0.0853,0.1371
1,14,0.2143,0.2143,1.0000,0.3529,0.9076,0.2406,0.1624
0,20,0.2069,0.2069,1.0000,0.3429,0.9034,0.1081,0.1757
1,15,0.2143,0.2143,1.0000,0.3529,0.9076,0.1497,0.3299
1,12,0.2727,0.2727,1.0000,0.4286,0.9328,0.0780,0.1314
1,16,0.2143,0.2143,1.0000,0.3529,0.9076,0.1902,0.2750
1,17,0.1935,0.1935,1.0000,0.3243,0.8950,0.1093,0.2388
1,19,0.1818,0.1818,1.0000,0.3077,0.8866,0.1498,0.2537
1,18,0.1875,0.1875,1.0000,0.3158,0.8908,0.1905,0.1735
1,20,0.1818,0.1818,1.0000,0.3077,0.8866,0.1359,0.1661
2,10,0.1186,0.1538,0.6667,0.2500,0.7409,0.1757,0.2679
2,9,0.1227,0.1600,0.6667,0.2581,0.7451,0.1106,0.1898
2,7,0.1729,0.2353,0.6667,0.3478,0.7787,0.1368,0.1390
2,8,0.1319,0.1739,0.6667,0.2759,0.7535,0.1214,0.1536
2,17,0.1579,0.1579,1.0000,0.2727,0.8655,0.2140,0.2225
2,16,0.1579,0.1579,1.0000,0.2727,0.8655,0.1458,0.1350
2,15,0.1818,0.1818,1.0000,0.3077,0.8866,0.1653,0.1800
2,18,0.1333,0.1333,1.0000,0.2353,0.8361,0.1258,0.1698
2,6,0.1319,0.1739,0.6667,0.2759,0.7535,0.1421,0.1539
2,11,0.0993,0.1250,0.6667,0.2105,0.7157,0.1646,0.1938
3,6,0.1892,0.2174,0.8333,0.3448,0.8410,0.1358,0.0839
2,19,0.1304,0.1304,1.0000,0.2308,0.8319,0.1328,0.1683
3,8,0.1892,0.2174,0.8333,0.3448,0.8410,0.0884,0.1557
3,7,0.1564,0.2105,0.6667,0.3200,0.7703,0.1224,0.1776
2,12,0.0993,0.1250,0.6667,0.2105,0.7157,0.1880,0.1840
3,10,0.1623,0.1852,0.8333,0.3030,0.8242,0.0954,0.1728
3,11,0.1568,0.1786,0.8333,0.2941,0.8200,0.0912,0.1289
2,14,0.1206,0.1351,0.8333,0.2326,0.7822,0.1319,0.1498
2,20,0.1333,0.1333,1.0000,0.2353,0.8361,0.1560,0.1917
3,13,0.1112,0.1429,0.6667,0.2353,0.7325,0.1496,0.1199
3,12,0.1148,0.1481,0.6667,0.2424,0.7367,0.1049,0.1423
3,16,0.0968,0.1212,0.6667,0.2051,0.7115,0.0734,0.1509
3,9,0.1747,0.2000,0.8333,0.3226,0.8326,0.1183,0.0727
2,13,0.1305,0.1471,0.8333,0.2500,0.7948,0.0934,0.1810
3,15,0.1020,0.1290,0.6667,0.2162,0.7199,0.1884,0.1332
3,14,0.1080,0.1379,0.6667,0.2286,0.7283,0.3877,0.2103
3,20,0.0968,0.1212,0.6667,0.2051,0.7115,0.1426,0.2210
3,17,0.0968,0.1212,0.6667,0.2051,0.7115,0.1311,0.1655
3,18,0.1186,0.1538,0.6667,0.2500,0.7409,0.0953,0.1505
3,19,0.1080,0.1379,0.6667,0.2286,0.7283,0.1678,0.1180
4,20,0.1049,0.1163,0.8333,0.2041,0.7570,0.1627,0.2561
4,6,0.1517,0.1724,0.8333,0.2857,0.8158,0.1244,0.1946
4,10,0.1568,0.1786,0.8333,0.2941,0.8200,0.0765,0.1054
4,8,0.1623,0.1852,0.8333,0.3030,0.8242,0.1118,0.1719
4,14,0.1237,0.1389,0.8333,0.2381,0.7864,0.1014,0.1635
4,7,0.1623,0.1852,0.8333,0.3030,0.8242,0.1649,0.1434
4,9,0.1816,0.2083,0.8333,0.3333,0.8368,0.2609,0.3451
4,19,0.1072,0.1190,0.8333,0.2083,0.7612,0.1925,0.1904
4,13,0.1469,0.1667,0.8333,0.2778,0.8116,0.1503,0.1750
4,11,0.1517,0.1724,0.8333,0.2857,0.8158,0.1316,0.1772
4,15,0.1176,0.1316,0.8333,0.2273,0.7780,0.1262,0.3046
5,9,0.1740,0.3000,0.5000,0.3750,0.7206,0.2140,0.3053
5,7,0.1394,0.2308,0.5000,0.3158,0.7080,0.4231,0.2168
4,17,0.1206,0.1351,0.8333,0.2326,0.7822,0.1397,0.1284
5,8,0.1311,0.2143,0.5000,0.3000,0.7038,0.1361,0.1678
4,18,0.1122,0.1250,0.8333,0.2174,0.7696,0.1140,0.1877
5,12,0.1372,0.1818,0.6667,0.2857,0.7577,0.1653,0.1440
5,13,0.0892,0.1304,0.5000,0.2069,0.6660,0.1605,0.1867
4,12,0.1469,0.1667,0.8333,0.2778,0.8116,0.1163,0.2219
4,16,0.1176,0.1316,0.8333,0.2273,0.7780,0.1561,0.2000
5,6,0.2115,0.3750,0.5000,0.4286,0.7290,0.2007,0.1262
5,10,0.1177,0.1875,0.5000,0.2727,0.6954,0.1258,0.1830
5,14,0.0840,0.1200,0.5000,0.1935,0.6576,0.2131,0.2160
5,17,0.0840,0.1200,0.5000,0.1935,0.6576,0.1725,0.2094
5,11,0.0764,0.1333,0.3333,0.1905,0.6120,0.1092,0.1423
5,19,0.0776,0.1071,0.5000,0.1765,0.6450,0.2093,0.1872
5,16,0.0840,0.1200,0.5000,0.1935,0.6576,0.1209,0.1755
5,18,0.0796,0.1111,0.5000,0.1818,0.6492,0.2249,0.2751
5,20,0.0993,0.1250,0.6667,0.2105,0.7157,0.1035,0.1157
5,15,0.0922,0.1364,0.5000,0.2143,0.6702,0.1302,0.1202
6,17,0.1206,0.1351,0.8333,0.2326,0.7822,0.0886,0.2121
6,19,0.1122,0.1250,0.8333,0.2174,0.7696,0.0909,0.2146
6,13,0.1517,0.1724,0.8333,0.2857,0.8158,0.0848,0.2310
6,10,0.1568,0.1786,0.8333,0.2941,0.8200,0.0813,0.1695
6,15,0.1469,0.1667,0.8333,0.2778,0.8116,0.1186,0.1539
6,18,0.1305,0.1471,0.8333,0.2500,0.7948,0.1288,0.1322
6,12,0.1469,0.1667,0.8333,0.2778,0.8116,0.1953,0.1977
6,11,0.1424,0.1613,0.8333,0.2703,0.8074,0.0955,0.1745
6,14,0.1875,0.1875,1.0000,0.3158,0.8908,0.1162,0.1262
6,20,0.1206,0.1351,0.8333,0.2326,0.7822,0.0875,0.1969
6,7,0.2684,0.3125,0.8333,0.4545,0.8704,0.1076,0.2606
6,9,0.2163,0.2500,0.8333,0.3846,0.8536,0.1879,0.2165
6,16,0.1382,0.1562,0.8333,0.2632,0.8032,0.1056,0.0895
7,6,0.0840,0.1200,0.5000,0.1935,0.6576,0.1292,0.0741
