seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,1,0.0353,0.1053,0.3333,0.16,0.2479,276.8892,889.2146
0,2,0.0364,0.2353,0.6667,0.3478,0.2423,449.9435,1505.1992
0,3,0.0697,0.2353,0.6667,0.3478,0.3347,643.0695,2179.4848
0,4,0.0366,0.2273,0.8333,0.3571,0.1723,847.2161,2815.7303
0,5,0.0294,0.2727,1.0,0.4286,0.0504,1062.7132,3477.0914
0,6,0.0294,0.2222,1.0,0.3636,0.0574,1619.4396,5474.2699
0,7,0.0296,0.2222,1.0,0.3636,0.0644,1893.2198,6368.3446
0,8,0.0297,0.1724,0.8333,0.2857,0.0728,2203.6982,7408.1563
0,9,0.0297,0.1714,1.0,0.2927,0.0686,2734.6941,9109.1316
0,10,0.0298,0.1818,1.0,0.3077,0.0756,3077.8095,10372.3312
0,11,0.0297,0.1765,1.0,0.3,0.07,3614.2791,12137.2525
0,12,0.0297,0.1538,1.0,0.2667,0.0672,3968.1979,13427.4811
0,13,0.0297,0.1395,1.0,0.2449,0.0728,4727.2191,15988.1867
0,14,0.0295,0.1364,1.0,0.24,0.063,5796.5976,19525.045
0,15,0.0296,0.15,1.0,0.2609,0.0714,5374.329,17898.3136
0,16,0.0298,0.1304,1.0,0.2308,0.084,7010.4822,23536.499
0,17,0.0297,0.1395,1.0,0.2449,0.077,7635.0197,25667.278
0,18,0.0295,0.125,1.0,0.2222,0.063,10633.8957,35859.6688
0,19,0.0296,0.1304,1.0,0.2308,0.0686,16723.427,56285.4075
0,20,0.0295,0.1304,1.0,0.2308,0.0644,29024.0646,97749.9797
1,1,0.132,0.08,0.3333,0.129,0.5644,326.1372,973.0049
1,2,0.0301,0.25,0.8333,0.3846,0.0994,564.0695,1664.2132
1,3,0.0291,0.1923,0.8333,0.3125,0.0476,777.6964,3482.5436
1,4,0.0286,0.2143,1.0,0.3529,0.0182,1786.5296,5435.214
1,5,0.0286,0.2069,1.0,0.3429,0.021,2293.092,6807.6904
1,6,0.0287,0.2,1.0,0.3333,0.0238,2042.9981,6099.6541
1,7,0.0285,0.1875,1.0,0.3158,0.0084,2300.0393,6956.0079
1,8,0.0285,0.1538,1.0,0.2667,0.0098,2686.631,8089.3164
1,9,0.0285,0.1333,1.0,0.2353,0.0112,3306.4346,9957.7487
1,10,0.0286,0.1364,1.0,0.24,0.0126,3670.4376,11065.5034
1,11,0.0285,0.1304,1.0,0.2308,0.014,4308.235,12940.1434
1,12,0.0285,0.12,1.0,0.2143,0.0098,4897.1982,14892.5307
1,13,0.0285,0.1395,1.0,0.2449,0.0098,5792.758,17415.9039
1,14,0.0285,0.1333,1.0,0.2353,0.007,7117.5086,21447.3259
1,15,0.0285,0.1304,1.0,0.2308,0.0084,6538.3318,19741.083
1,16,0.0284,0.1277,1.0,0.2264,0.0042,7669.7477,23148.2341
1,17,0.0284,0.1277,1.0,0.2264,0.0042,9395.4143,28260.1777
1,18,0.0284,0.1277,1.0,0.2264,0.0028,12701.1302,38385.3137
1,19,0.0284,0.1277,1.0,0.2264,0.0042,0.4444,47780.3479
1,20,0.0284,0.12,1.0,0.2143,0.0042,5264.9437,106845.3687
2,1,0.0569,0.1667,0.5,0.25,0.3936,543.2016,1681.5333
2,2,0.0416,0.2222,0.6667,0.3333,0.2199,936.6226,2883.854
2,3,0.0321,0.2174,0.8333,0.3448,0.1485,1353.3847,4136.4811
2,4,0.0347,0.1538,0.6667,0.25,0.1849,1735.8872,4809.6298
2,5,0.0391,0.129,0.6667,0.2162,0.2115,1938.5009,6216.7085
2,6,0.0326,0.0952,0.6667,0.1667,0.1793,1914.658,5916.6108
2,7,0.034,0.0952,0.6667,0.1667,0.2045,2242.5522,6858.4201
2,8,0.0358,0.0976,0.6667,0.1702,0.2227,2654.3199,8184.7057
2,9,0.0337,0.0889,0.6667,0.1569,0.1989,3168.8937,9758.2345
2,10,0.0313,0.102,0.8333,0.1818,0.1415,3611.8504,11111.7033
2,11,0.0329,0.1111,0.8333,0.1961,0.1751,4078.2753,12638.1272
2,12,0.0329,0.1064,0.8333,0.1887,0.1751,4653.2881,14410.173
2,13,0.0293,0.125,1.0,0.2222,0.0588,5466.9538,16912.9054
2,14,0.0298,0.1224,1.0,0.2182,0.0882,7573.4586,23317.4839
2,15,0.0296,0.1132,1.0,0.2034,0.0728,6264.7054,19419.47
2,16,0.0295,0.1071,1.0,0.1935,0.0644,7340.6116,22763.7894
2,17,0.0296,0.1176,1.0,0.2105,0.07,9076.1718,28005.929
2,18,0.0295,0.1111,1.0,0.2,0.0686,12420.3539,38319.8082
2,19,0.0296,0.1071,1.0,0.1935,0.0686,19596.5415,60733.8019
2,20,0.0296,0.1091,1.0,0.1967,0.07,34738.0648,107638.5188
3,1,0.0869,0.1111,0.5,0.1818,0.3039,463.559,1537.183
3,2,0.0707,0.2,0.8333,0.3226,0.2311,821.6089,2775.0976
3,3,0.0293,0.3,1.0,0.4615,0.0364,1186.8249,3542.6674
3,4,0.0295,0.2143,1.0,0.3529,0.0532,1350.2016,4419.989
3,5,0.0295,0.1875,1.0,0.3158,0.056,1878.861,4596.3215
3,6,0.0298,0.1765,1.0,0.3,0.0756,1672.7769,5496.658
3,7,0.03,0.1875,1.0,0.3158,0.0812,2018.5476,6637.0714
3,8,0.0299,0.1579,1.0,0.2727,0.0798,2324.4567,7648.8562
3,9,0.03,0.1364,1.0,0.24,0.0882,2721.3761,8956.5929
3,10,0.0302,0.1364,1.0,0.24,0.0924,3199.1737,10540.3085
3,11,0.0314,0.1064,0.8333,0.1887,0.1457,3504.6955,11602.0681
3,12,0.032,0.102,0.8333,0.1818,0.1653,4062.335,13376.2114
3,13,0.0319,0.12,1.0,0.2143,0.1611,4770.7775,15753.8478
3,14,0.0312,0.1224,1.0,0.2182,0.1373,6036.3324,19925.2977
3,15,0.0311,0.1176,1.0,0.2105,0.1345,5427.6477,17927.1415
3,16,0.0314,0.098,0.8333,0.1754,0.1485,6523.9092,21452.9929
3,17,0.0317,0.12,1.0,0.2143,0.1555,2.4255,7468.3234
3,18,0.0315,0.1132,1.0,0.2034,0.1513,0.4327,23038.7642
3,19,0.0314,0.1132,1.0,0.2034,0.1443,0.2487,50995.0175
3,20,0.0311,0.0909,0.8333,0.1639,0.1401,7125.893,99172.6539
4,1,0.0294,0.25,0.8333,0.3846,0.0742,352.6725,1043.5816
4,2,0.0302,0.1923,0.8333,0.3125,0.1022,595.8589,1736.998
4,3,0.083,0.1389,0.8333,0.2381,0.1863,843.1628,2400.0583
4,4,0.0415,0.1316,0.8333,0.2273,0.1765,1022.1459,2994.541
4,5,0.0343,0.1064,0.8333,0.1887,0.1625,1253.5676,3668.6646
4,6,0.0337,0.119,0.8333,0.2083,0.1373,2126.5876,6262.5697
4,7,0.0344,0.1111,0.8333,0.1961,0.1443,2500.551,7381.2093
4,8,0.0345,0.1163,0.8333,0.2041,0.1485,3073.5266,9095.5714
4,9,0.0402,0.1087,0.8333,0.1923,0.1695,3465.0007,10224.0679
4,10,0.0442,0.1,0.8333,0.1786,0.1765,5204.9713,16603.8575
4,11,0.0484,0.1,0.8333,0.1786,0.1807,4493.8366,13205.8852
4,12,0.0342,0.102,0.8333,0.1818,0.1485,5133.9645,15178.4834
4,13,0.0312,0.098,0.8333,0.1754,0.1275,6165.5373,18176.0212
4,14,0.0327,0.098,0.8333,0.1754,0.1443,7728.5425,22871.0106
4,15,0.0338,0.0962,0.8333,0.1724,0.1541,7312.3562,21761.1387
4,16,0.0303,0.102,0.8333,0.1818,0.1022,8132.1352,24114.1695
4,17,0.0305,0.0962,0.8333,0.1724,0.1078,10073.679,29724.5602
4,18,0.0313,0.0943,0.8333,0.1695,0.1218,13920.3721,41037.4331
4,19,0.0321,0.0926,0.8333,0.1667,0.1359,21646.3374,64003.4405
4,20,0.0311,0.0962,0.8333,0.1724,0.1204,37900.8992,111781.717
5,1,0.0765,0.1,0.3333,0.1538,0.402,293.7143,892.943
5,2,0.0427,0.1818,0.6667,0.2857,0.2801,489.417,1566.1946
5,3,0.0507,0.1053,0.3333,0.16,0.3459,695.664,2139.8456
5,4,0.0304,0.2,0.8333,0.3226,0.1078,910.9224,2805.4248
5,5,0.0309,0.1562,0.8333,0.2632,0.1246,1126.6282,3462.4177
5,6,0.0332,0.1562,0.8333,0.2632,0.1863,1925.7282,5944.3359
5,7,0.0349,0.1176,0.6667,0.2,0.2101,2243.9704,6931.2146
5,8,0.0586,0.1111,0.6667,0.1905,0.2745,2637.9721,8143.2622
5,9,0.0482,0.0976,0.6667,0.1702,0.2787,3142.3223,9638.0563
5,10,0.0487,0.0909,0.6667,0.16,0.3025,3463.9164,10701.6915
5,11,0.037,0.0889,0.6667,0.1569,0.2521,4015.0739,13049.5488
5,12,0.0341,0.0976,0.6667,0.1702,0.2115,0.12,13326.6001
5,13,0.0358,0.0889,0.6667,0.1569,0.2409,4845.4343,16843.3775
5,14,0.0356,0.087,0.6667,0.1538,0.2451,7960.9694,21156.2273
5,15,0.0355,0.0889,0.6667,0.1569,0.2409,7363.7086,19159.0049
5,16,0.0362,0.093,0.6667,0.1633,0.2521,8288.4127,22216.3364
5,17,0.0366,0.0952,0.6667,0.1667,0.2549,9996.0776,27720.033
