seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.035,0.2,0.3333,0.25,0.2395,5486.345,17549.3463
1,6,0.0318,0.2222,0.6667,0.3333,0.1485,5619.6506,17402.1905
2,6,0.0294,0.2857,0.6667,0.4,0.063,5753.3333,17969.5459
3,6,0.0317,0.3333,0.8333,0.4762,0.1359,6588.4973,19001.807
4,6,0.0295,0.3846,0.8333,0.5263,0.0756,5894.2178,17796.9493
5,6,0.0303,0.3333,0.8333,0.4762,0.0938,5382.744,16960.3825
6,6,0.0287,0.5455,1.0,0.7059,0.0182,5114.054,16474.8546
7,6,0.0291,0.3333,0.6667,0.4444,0.049,5189.4992,17146.0908
8,6,0.035,0.4,0.6667,0.5,0.1583,5501.4506,17228.6943
9,6,0.0305,0.5,0.8333,0.625,0.1064,5468.0664,17136.7319
10,6,0.0293,0.3571,0.8333,0.5,0.0574,5609.0041,17838.3262
11,6,0.0287,0.4,1.0,0.5714,0.0126,9532.5406,28736.5252
12,6,0.0292,0.3158,1.0,0.48,0.0308,8358.0012,27746.3724
13,6,0.0305,0.2667,0.6667,0.381,0.1148,5972.9145,17941.9559
14,6,0.0314,0.4,0.6667,0.5,0.1373,5121.6997,16780.7589
