seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0296,0.3333,0.8333,0.4762,0.0812,0.0000,0.0000
1,6,0.0306,0.3125,0.8333,0.4545,0.1106,0.0000,0.0000
2,6,0.0296,0.2632,0.8333,0.4000,0.0616,0.0000,0.0000
3,6,0.0322,0.2000,0.5000,0.2857,0.1709,0.0000,0.0000
4,6,0.0285,0.4000,1.0000,0.5714,0.0056,0.0000,0.0000
5,6,0.0464,0.1818,0.3333,0.2353,0.3571,0.0000,0.0000
6,6,0.0285,0.3529,1.0000,0.5217,0.0098,0.0000,0.0150
7,6,0.0302,0.6250,0.8333,0.7143,0.0966,0.0000,0.0000
8,6,0.0487,0.1818,0.3333,0.2353,0.3782,0.0000,0.0000
9,6,0.0286,0.5000,0.8333,0.6250,0.0154,0.0000,0.0000
10,6,0.0290,0.3846,0.8333,0.5263,0.0448,0.0000,0.0000
11,6,0.0757,0.2143,0.5000,0.3000,0.3347,0.0000,0.0000
12,6,0.0383,0.3333,0.5000,0.4000,0.1863,0.0000,0.0000
13,6,0.0294,0.3571,0.8333,0.5000,0.0686,0.0000,0.0156
14,6,0.0342,0.2941,0.8333,0.4348,0.1555,0.0000,0.0000
