seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,1,0.0538,0.1875,0.5000,0.2727,0.3838,0.0158,0.0157
0,2,0.0432,0.2308,0.5000,0.3158,0.2913,0.0158,0.0161
0,3,0.0463,0.2308,0.5000,0.3158,0.2997,0.0199,0.0000
0,4,0.0463,0.2778,0.8333,0.4167,0.1849,0.0241,0.0185
0,5,0.0294,0.2941,0.8333,0.4348,0.0490,0.0239,0.0080
0,6,0.0295,0.3125,0.8333,0.4545,0.0602,0.0237,0.0145
0,7,0.0298,0.3125,0.8333,0.4545,0.0700,0.0184,0.0000
0,8,0.0298,0.3125,0.8333,0.4545,0.0742,0.0000,0.0000
0,9,0.0298,0.2500,0.6667,0.3636,0.0756,0.0154,0.0313
0,10,0.0298,0.2500,0.6667,0.3636,0.0756,0.0317,0.0157
0,11,0.0299,0.2222,0.6667,0.3333,0.0840,0.0318,0.0156
0,12,0.0298,0.2353,0.6667,0.3478,0.0770,0.0155,0.0469
0,13,0.0299,0.2353,0.6667,0.3478,0.0812,0.0318,0.0157
0,14,0.0297,0.2941,0.8333,0.4348,0.0742,0.0168,0.0000
0,15,0.0297,0.2632,0.8333,0.4000,0.0742,0.0311,0.0000
0,16,0.0299,0.2632,0.8333,0.4000,0.0896,0.0315,0.0157
0,17,0.0299,0.2105,0.6667,0.3200,0.0854,0.0102,0.0000
0,18,0.0297,0.2632,0.8333,0.4000,0.0728,0.0317,0.0000
0,19,0.0298,0.2500,0.8333,0.3846,0.0770,0.0257,0.0157
0,20,0.0296,0.2500,0.8333,0.3846,0.0700,0.0315,0.0157
1,1,0.0940,0.4000,0.3333,0.3636,0.4860,0.0172,0.0000
1,2,0.0307,0.5000,0.3333,0.4000,0.1246,0.0176,0.0000
1,3,0.0292,0.4286,0.5000,0.4615,0.0574,0.0155,0.0157
1,4,0.0286,0.5000,0.8333,0.6250,0.0196,0.0159,0.0160
1,5,0.0286,0.5000,0.8333,0.6250,0.0210,0.0217,0.0100
1,6,0.0286,0.4545,0.8333,0.5882,0.0182,0.0313,0.0157
1,7,0.0285,0.5000,1.0000,0.6667,0.0098,0.0173,0.0148
1,8,0.0285,0.4545,0.8333,0.5882,0.0112,0.0319,0.0000
1,9,0.0285,0.5000,0.8333,0.6250,0.0098,0.0163,0.0157
1,10,0.0285,0.6250,0.8333,0.7143,0.0112,0.0191,0.0000
1,11,0.0286,0.6250,0.8333,0.7143,0.0154,0.0311,0.0157
1,12,0.0285,0.5000,0.8333,0.6250,0.0140,0.0159,0.0202
1,13,0.0285,0.6000,1.0000,0.7500,0.0084,0.0314,0.0161
1,14,0.0285,0.6000,1.0000,0.7500,0.0056,0.0182,0.0000
1,15,0.0285,0.6667,1.0000,0.8000,0.0084,0.0258,0.0000
1,16,0.0284,0.6000,1.0000,0.7500,0.0042,0.0318,0.0317
1,17,0.0284,0.6000,1.0000,0.7500,0.0028,0.0157,0.0157
1,18,0.0284,0.5000,1.0000,0.6667,0.0014,0.0156,0.0157
1,19,0.0284,0.5000,1.0000,0.6667,0.0014,0.0323,0.0000
1,20,0.0285,0.4615,1.0000,0.6316,0.0056,0.0237,0.0631
2,1,0.0413,0.1538,0.3333,0.2105,0.3039,0.0160,0.0164
2,2,0.0328,0.2500,0.5000,0.3333,0.1863,0.0179,0.0040
2,3,0.0303,0.2857,0.6667,0.4000,0.1064,0.0245,0.0158
2,4,0.0334,0.3333,0.6667,0.4444,0.1639,0.0310,0.0156
2,5,0.0468,0.2857,0.6667,0.4000,0.2073,0.0229,0.0161
2,6,0.0321,0.3636,0.6667,0.4706,0.1625,0.0309,0.0000
2,7,0.0321,0.4000,0.6667,0.5000,0.1653,0.0123,0.0000
2,8,0.0339,0.3333,0.6667,0.4444,0.1989,0.0241,0.0078
2,9,0.0330,0.3077,0.6667,0.4211,0.1849,0.0234,0.0000
2,10,0.0313,0.3077,0.6667,0.4211,0.1415,0.0315,0.0156
