seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0305,0.1429,0.3333,0.2000,0.0994,62.9501,34.3065
1,6,0.0293,0.3333,0.5000,0.4000,0.0490,53.2696,36.8962
2,6,0.0885,0.1250,0.3333,0.1818,0.5686,62.4360,33.3107
3,6,0.0326,0.3077,0.6667,0.4211,0.1807,79.4291,36.5410
4,6,0.0309,0.2308,0.5000,0.3158,0.1275,57.1358,32.6364
5,6,0.0400,0.1500,0.5000,0.2308,0.2675,0.0202,27.6398
6,6,0.0339,0.0870,0.3333,0.1379,0.2157,23.5538,29.3301
7,6,0.0544,0.1875,0.5000,0.2727,0.4020,66.1299,41.4050
8,6,0.0409,0.0000,0.0000,0.0000,0.3557,60.2629,38.4298
9,6,0.1954,0.1579,0.5000,0.2400,0.2325,54.2692,39.9205
10,6,0.0311,0.1875,0.5000,0.2727,0.1317,21.3179,30.5536
11,6,0.0346,0.2353,0.6667,0.3478,0.2213,14.0642,19.0046
12,6,0.0346,0.0909,0.3333,0.1429,0.2199,20.9642,28.9566
13,6,0.0484,0.0909,0.3333,0.1429,0.3922,22.3709,30.6824
14,6,0.0291,0.4286,1.0000,0.6000,0.0294,21.8728,28.7567
0,1,0.0755,0.0000,0.0000,0.0000,0.4790,46.0674,10.6721
0,2,0.0962,0.1364,0.5000,0.2143,0.4048,46.8163,12.0301
0,3,0.0628,0.1579,0.5000,0.2400,0.4090,60.6282,12.8567
0,4,0.0678,0.1765,0.5000,0.2609,0.4342,67.4608,14.9089
0,5,0.2032,0.2308,0.5000,0.3158,0.3319,40.3596,20.6871
0,7,0.0299,0.2857,0.6667,0.4000,0.0714,90.6156,83.0888
0,8,0.0303,0.2500,0.6667,0.3636,0.0994,179.1699,210.5670
0,9,0.0330,0.2105,0.6667,0.3200,0.1933,92571.3373,45508.2405
1,1,0.0707,0.0000,0.0000,0.0000,0.5672,51.5778,12.5753
1,2,0.0554,0.0000,0.0000,0.0000,0.5308,44.3343,12.6323
1,3,0.0296,0.4286,0.5000,0.4615,0.0714,44.2272,12.7839
1,4,0.0325,0.3000,0.5000,0.3750,0.1793,46.4275,13.7503
1,5,0.0300,0.3750,0.5000,0.4286,0.0896,49.0804,19.9816
1,7,0.0290,0.5000,0.6667,0.5714,0.0378,99.3802,104.0911
1,8,0.0290,0.5000,0.6667,0.5714,0.0420,268.9609,338.3622
1,9,0.0292,0.3000,0.5000,0.3750,0.0560,202077.5106,100594.6147
2,1,0.0391,0.1429,0.3333,0.2000,0.3151,41.5996,11.8779
2,2,0.0769,0.1176,0.3333,0.1739,0.4566,43.6734,11.9031
2,3,0.0460,0.1429,0.1667,0.1538,0.4076,47.0817,12.6831
2,4,0.0405,0.0000,0.0000,0.0000,0.3445,46.7016,14.1632
2,5,0.0550,0.1250,0.1667,0.1429,0.3936,62.3684,23.0163
2,7,0.0373,0.3636,0.6667,0.4706,0.2367,99.6551,70.0805
2,8,0.0313,0.4000,0.3333,0.3636,0.1471,157.1843,177.5725
2,9,0.0317,0.2500,0.6667,0.3636,0.1513,74465.1583,36146.1225
3,1,0.0625,0.0000,0.0000,0.0000,0.5224,51.4294,13.6478
3,2,0.1184,0.0000,0.0000,0.0000,0.3768,53.7275,15.0221
3,3,0.0323,0.2500,0.3333,0.2857,0.1737,51.0854,15.2255
3,4,0.0294,0.3636,0.6667,0.4706,0.0644,44.6461,15.1976
3,5,0.0315,0.2667,0.6667,0.3810,0.1429,45.1804,20.5848
3,7,0.0311,0.3077,0.6667,0.4211,0.1317,118.3304,103.5294
3,8,0.0336,0.1579,0.5000,0.2400,0.2115,274.3815,357.9911
3,9,0.0395,0.0732,0.5000,0.1277,0.3249,234809.9343,120992.5721
4,1,0.0298,0.3333,0.8333,0.4762,0.0854,45.8305,10.8308
4,2,0.1333,0.3333,0.3333,0.3333,0.4720,43.1661,11.0422
4,3,0.0440,0.2000,0.3333,0.2500,0.3585,42.9426,12.2172
4,4,0.0366,0.1667,0.3333,0.2222,0.2381,46.0727,15.5317
4,5,0.0317,0.2727,0.5000,0.3529,0.1583,47.5581,18.5151
4,7,0.0327,0.1667,0.5000,0.2500,0.1891,116.6739,103.4380
4,8,0.0304,0.1333,0.6667,0.2222,0.1106,261.9224,345.6974
4,9,0.0309,0.1277,1.0000,0.2264,0.1232,219950.7867,112408.7254
5,1,0.0805,0.0526,0.1667,0.0800,0.6064,34.2155,8.9444
5,2,0.0649,0.1111,0.3333,0.1667,0.4888,32.4245,9.8122
5,3,0.0539,0.1053,0.3333,0.1600,0.4636,36.2870,11.4142
5,4,0.0558,0.1250,0.3333,0.1818,0.4762,40.9382,14.3604
5,5,0.0624,0.0909,0.1667,0.1176,0.4412,45.7817,19.5369
5,7,0.0718,0.0455,0.1667,0.0714,0.4944,62.5489,89.5400
5,8,0.0548,0.0417,0.1667,0.0667,0.4818,191.2725,279.2611
5,9,0.0512,0.0714,0.3333,0.1176,0.4188,139939.3908,71520.4910
6,1,0.0380,0.1111,0.3333,0.1667,0.2955,42.0595,11.0723
6,2,0.0378,0.2143,0.5000,0.3000,0.2759,41.7495,10.5972
6,3,0.0319,0.2500,0.1667,0.2000,0.1555,41.6100,11.7995
6,4,0.0291,0.5000,0.6667,0.5714,0.0448,44.6545,13.2426
6,5,0.0307,0.3333,0.5000,0.4000,0.1190,48.3109,19.5731
6,7,0.0295,0.3636,0.6667,0.4706,0.0616,78.8550,107.0734
6,8,0.0294,0.3125,0.8333,0.4545,0.0546,275.3202,408.0814
6,9,0.0293,0.2381,0.8333,0.3704,0.0462,248616.1164,132264.3761
7,1,0.0663,0.0000,0.0000,0.0000,0.5126,42.3429,11.3542
7,2,0.2118,0.1667,0.3333,0.2222,0.4664,46.8581,12.3113
7,3,0.1245,0.1000,0.1667,0.1250,0.6232,42.9824,12.0761
7,4,0.0598,0.1111,0.1667,0.1333,0.5070,56.7701,15.1460
7,5,0.0604,0.1875,0.5000,0.2727,0.4244,48.2164,19.6976
7,7,0.0695,0.3000,0.5000,0.3750,0.4454,119.3345,119.0922
7,8,0.0422,0.2308,0.5000,0.3158,0.3333,305.1566,391.6028
7,9,0.0632,0.1304,0.5000,0.2069,0.4118,220184.2045,110297.2967
8,1,0.2852,0.1250,0.1667,0.1429,0.6289,39.2775,11.5545
8,2,0.0432,0.0909,0.1667,0.1176,0.3824,40.9865,10.8544
8,3,0.0306,0.2222,0.3333,0.2667,0.1078,41.1497,11.1721
8,4,0.0346,0.0000,0.0000,0.0000,0.2283,42.1591,14.4102
8,5,0.0365,0.0000,0.0000,0.0000,0.2689,44.7230,20.8800
8,7,0.0344,0.2222,0.3333,0.2667,0.2297,110.8783,113.3786
8,8,0.0337,0.2000,0.3333,0.2500,0.2143,276.6745,362.5575
9,1,0.0805,0.0556,0.1667,0.0833,0.5728,45.1643,11.1583
9,2,0.0940,0.3077,0.6667,0.4211,0.3109,39.7167,14.6562
9,3,0.0484,0.2941,0.8333,0.4348,0.1807,40.4327,12.6384
9,4,0.0619,0.2857,0.6667,0.4000,0.2255,38.8580,11.8800
9,5,0.0356,0.0588,0.8333,0.1099,0.2143,48.1377,5.6497
9,7,0.1118,0.2174,0.8333,0.3448,0.2199,112.6448,123.6584
10,1,0.0773,0.0000,0.0000,0.0000,0.5854,36.7396,10.0618
10,2,0.0648,0.0588,0.1667,0.0870,0.4090,37.0095,10.7307
10,3,0.0526,0.0833,0.1667,0.1111,0.4608,37.1120,11.2460
10,4,0.0383,0.2308,0.5000,0.3158,0.2969,37.7693,12.8629
10,5,0.0337,0.2500,0.5000,0.3333,0.2017,40.3947,18.2329
10,7,0.0349,0.1667,0.5000,0.2500,0.2423,76.2024,111.3104
10,8,0.0312,0.1176,0.6667,0.2000,0.1387,279.1904,415.8105
10,9,0.0325,0.1111,1.0000,0.2000,0.1667,272773.2923,137604.3915
11,1,0.0776,0.3333,0.1667,0.2222,0.5280,34.8981,10.2481
