seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0813,0.1429,0.3333,0.2000,0.5140,68.1237,4.8424
1,6,0.2328,0.0000,0.0000,0.0000,0.7409,85.9120,4.5113
2,6,0.0325,0.2500,0.5000,0.3333,0.1793,77.4293,4.8297
3,6,0.1248,0.0476,0.3333,0.0833,0.6176,79.0555,7.6850
4,6,0.0819,0.0429,0.5000,0.0789,0.4622,80.0717,6.5675
5,6,0.0342,0.2000,0.5000,0.2857,0.2059,108.8131,6.6868
6,6,0.0295,0.3636,0.6667,0.4706,0.0742,89.4504,4.7207
7,6,0.3207,0.2500,0.5000,0.3333,0.4972,83.4350,4.5189
8,6,0.0439,0.2000,0.3333,0.2500,0.3725,86.6944,7.5625
9,6,0.0332,0.2353,0.6667,0.3478,0.1947,80.9003,6.0511
10,6,0.1167,0.0441,0.5000,0.0811,0.5840,77.0886,4.6270
11,6,0.0286,0.3000,1.0000,0.4615,0.0168,48.8218,1.8298
12,6,0.0294,0.3333,0.8333,0.4762,0.0434,87.0438,4.9824
13,6,0.0504,0.0500,0.5000,0.0909,0.4328,79.4396,4.6296
14,6,0.2353,0.0833,0.1667,0.1111,0.5938,91.8318,4.5992
