seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0329,0.1316,0.8333,0.2273,0.1849,0.0000,0.0000
1,6,0.0397,0.1613,0.8333,0.2703,0.1793,0.0000,0.0075
2,6,0.0298,0.1087,0.8333,0.1923,0.0868,0.0000,0.0104
3,6,0.0318,0.1351,0.8333,0.2326,0.1429,0.0000,0.0005
4,6,0.0302,0.1282,0.8333,0.2222,0.1008,0.0000,0.0225
5,6,0.0304,0.2000,0.8333,0.3226,0.0994,0.0000,0.0000
6,6,0.0288,0.2500,1.0000,0.4000,0.0238,0.0000,0.0117
7,6,0.0293,0.1538,1.0000,0.2667,0.0560,0.0000,0.0129
8,6,0.0368,0.1515,0.8333,0.2564,0.1639,0.0000,0.0140
9,6,0.0291,0.1667,0.8333,0.2778,0.0574,0.0000,0.0000
10,6,0.0291,0.1250,1.0000,0.2222,0.0378,0.0000,0.0050
11,6,0.0286,0.1935,1.0000,0.3243,0.0112,0.0000,0.0051
12,6,0.0293,0.1765,1.0000,0.3000,0.0336,0.0000,0.0090
13,6,0.0296,0.1395,1.0000,0.2449,0.0728,0.0000,0.0157
14,6,0.0310,0.1282,0.8333,0.2222,0.1317,0.0000,0.0074
