seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0350,0.2000,0.3333,0.2500,0.2395,0.0000,0.0156
1,6,0.0318,0.2222,0.6667,0.3333,0.1485,0.0000,0.0156
2,6,0.0294,0.2857,0.6667,0.4000,0.0630,0.0000,0.0159
3,6,0.0317,0.3333,0.8333,0.4762,0.1359,0.0000,0.0025
4,6,0.0295,0.3846,0.8333,0.5263,0.0756,0.0000,0.0085
5,6,0.0303,0.3333,0.8333,0.4762,0.0938,0.0000,0.0000
6,6,0.0287,0.5455,1.0000,0.7059,0.0182,0.0000,0.0080
7,6,0.0291,0.3333,0.6667,0.4444,0.0490,0.0000,0.0156
8,6,0.0350,0.4000,0.6667,0.5000,0.1583,0.0000,0.0228
9,6,0.0305,0.5000,0.8333,0.6250,0.1064,0.0000,0.0066
10,6,0.0293,0.3571,0.8333,0.5000,0.0574,0.0000,0.0094
11,6,0.0287,0.4000,1.0000,0.5714,0.0126,0.0000,0.0040
12,6,0.0292,0.3158,1.0000,0.4800,0.0308,0.0000,0.0071
13,6,0.0305,0.2667,0.6667,0.3810,0.1148,0.0000,0.0174
14,6,0.0314,0.4000,0.6667,0.5000,0.1373,0.0000,0.0080
