seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,2,0.1794,0.8261,0.9744,0.8941,0.0057,0.022,0.006
1,2,0.1797,0.76,0.9744,0.8539,0.0137,0.017,0.002
2,2,0.1798,0.8043,0.9487,0.8706,0.0194,0.017,0.003
3,2,0.1805,0.8043,0.9487,0.8706,0.025,0.035,0.002
4,2,0.1813,0.8043,0.9487,0.8706,0.0337,0.023,0.004
5,2,0.1798,0.8605,0.9487,0.9024,0.0188,0.016,0.002
6,2,0.1812,0.7872,0.9487,0.8605,0.0307,0.037,0.005
7,2,0.1797,0.7091,1.0,0.8298,0.0113,0.016,0.002
8,2,0.181,0.9024,0.9487,0.925,0.0358,0.016,0.002
9,2,0.1793,0.7959,1.0,0.8864,0.0003,0.016,0.002
10,2,0.1855,0.8444,0.9744,0.9048,0.0247,0.018,0.003
11,2,0.1802,0.8085,0.9744,0.8837,0.0206,0.043,0.006
12,2,0.1794,0.8444,0.9744,0.9048,0.0021,0.031,0.005
13,2,0.1795,0.8444,0.9744,0.9048,0.0086,0.022,0.002
14,2,0.1795,0.8085,0.9744,0.8837,0.0104,0.022,0.004
