seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,2,0.2697,0.7667,0.5897,0.6667,0.2466,10116.1029,2490.203
1,2,0.2626,0.6667,0.5128,0.5797,0.2582,10017.6777,2472.9388
2,2,0.2711,0.7931,0.5897,0.6765,0.2242,10353.571,2558.5793
3,2,0.3397,0.697,0.5897,0.6389,0.2913,8569.7305,2601.0912
4,2,0.2714,0.6786,0.4872,0.5672,0.2979,10443.6958,2593.7406
5,2,0.2858,0.697,0.5897,0.6389,0.2874,10354.7867,2577.682
6,2,0.3223,0.8,0.6154,0.6957,0.2487,10507.1848,2589.3548
7,2,0.2866,0.6176,0.5385,0.5753,0.3357,10306.4374,2668.7641
8,2,0.2992,0.7333,0.5641,0.6377,0.3044,10378.6395,2594.6153
9,2,0.2409,0.8571,0.6154,0.7164,0.1473,10282.3682,2815.6041
10,2,0.342,0.7143,0.5128,0.597,0.3312,10207.5538,2689.3807
11,2,0.2998,0.9167,0.5641,0.6984,0.2209,10280.7768,2552.8976
12,2,0.3377,0.7931,0.5897,0.6765,0.3113,10165.2143,2755.9322
13,2,0.2707,0.697,0.5897,0.6389,0.2507,10371.3651,2753.5304
14,2,0.4954,0.5417,0.3333,0.4127,0.506,10148.81,2759.7351
