seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,2,0.2152,0.625,0.5128,0.5634,0.2496,4659.2566,2085.2589
1,2,0.3158,0.52,0.3333,0.4063,0.4559,4563.5835,2029.9173
2,2,0.1895,0.7561,0.7949,0.775,0.1088,4614.4389,2058.0811
3,2,0.2,0.8333,0.7692,0.8,0.1547,4554.4243,1972.2479
4,2,0.2326,0.6364,0.359,0.459,0.2862,4651.3383,2046.9624
5,2,0.1806,0.8378,0.7949,0.8158,0.031,4600.2753,2053.9113
6,2,0.18,0.7551,0.9487,0.8409,0.0233,4683.1799,2049.0451
7,2,0.1941,0.7442,0.8205,0.7805,0.1225,4570.5599,2071.3731
8,2,0.278,0.7778,0.359,0.4912,0.3652,4981.2134,2089.2423
9,2,0.2153,0.8621,0.641,0.7353,0.1276,4689.5143,2063.6271
10,2,0.2312,0.7778,0.7179,0.7467,0.1798,4692.6839,2138.3968
11,2,0.1806,0.7778,0.8974,0.8333,0.0277,4721.0922,2065.2901
12,2,0.1807,0.8605,0.9487,0.9024,0.0277,4681.8034,2021.5019
13,2,0.216,0.7381,0.7949,0.7654,0.1264,4606.3259,2064.6356
14,2,0.3073,0.6667,0.4103,0.5079,0.3661,4657.6807,2090.4694
