seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,2,0.53,0.6538,0.4359,0.5231,0.4735,6200.083,2462.5436
1,2,0.2079,0.7586,0.5641,0.6471,0.1893,5984.5707,2377.1345
2,2,0.1876,0.7333,0.8462,0.7857,0.1026,6163.8962,2541.8177
3,2,0.184,0.8333,0.7692,0.8,0.0722,6064.626,2417.602
4,2,0.6606,0.1919,0.4872,0.2754,0.6336,6189.6016,2459.878
5,2,0.182,0.7778,0.8974,0.8333,0.0531,6216.8558,2498.1701
6,2,0.1798,0.8222,0.9487,0.881,0.0194,6094.8772,2451.2856
7,2,0.2191,0.7895,0.7692,0.7792,0.1035,6105.0807,2373.0181
8,2,0.2347,0.6452,0.5128,0.5714,0.232,6152.5719,2444.1138
9,2,0.2493,0.7576,0.641,0.6944,0.2367,6213.8191,2461.7108
10,2,0.435,0.3,0.3846,0.3371,0.4788,6146.2267,2518.5343
11,2,0.194,0.8438,0.6923,0.7606,0.1488,6121.9096,2455.2511
12,2,0.1806,0.8605,0.9487,0.9024,0.028,6112.6256,2399.558
13,2,0.1848,0.8333,0.7692,0.8,0.0844,5983.2697,2391.6814
14,2,0.2119,0.5357,0.3846,0.4478,0.2439,6188.9528,2478.7048
