seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,2,0.2952,0.5405,0.5128,0.5263,0.2993,776.2061,2383.7267
1,2,0.3843,0.4865,0.4615,0.4737,0.3494,837.9564,2484.7058
2,2,0.2464,0.587,0.6923,0.6353,0.2645,699.9843,2247.9234
3,2,0.3051,0.5122,0.5385,0.525,0.3256,668.9896,2177.7977
4,2,0.3875,0.5854,0.6154,0.6,0.3298,754.7693,2321.645
5,2,0.3617,0.5946,0.5641,0.5789,0.3089,819.3051,2470.2093
6,2,0.2533,0.6667,0.6154,0.64,0.2078,718.9917,2305.8157
7,2,0.2599,0.7576,0.641,0.6944,0.2001,929.2625,2621.3433
8,2,0.3459,0.561,0.5897,0.575,0.3348,764.9251,2312.6881
9,2,0.3771,0.4615,0.6154,0.5275,0.336,739.6498,2314.0438
10,2,0.3588,0.5122,0.5385,0.525,0.3324,724.8716,2331.1906
11,2,0.2426,0.5526,0.5385,0.5455,0.28,813.4486,2432.6013
12,2,0.2583,0.6364,0.5385,0.5833,0.2773,745.6444,2338.4083
13,2,0.2224,0.8108,0.7692,0.7895,0.1556,799.7206,2425.2054
14,2,0.3043,0.7059,0.6154,0.6575,0.2722,729.4273,2324.8929
