seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,2,0.2267,0.8,0.4103,0.5424,0.2737,378.5401,1283.8565
1,2,0.262,0.8947,0.4359,0.5862,0.2081,335.9668,1187.7147
2,2,0.235,0.8947,0.4359,0.5862,0.2976,377.7367,1361.0477
3,2,0.3235,0.8571,0.4615,0.6,0.2928,376.5455,1263.3529
4,2,0.2499,0.8889,0.6154,0.7273,0.2182,435.9248,1342.3166
5,2,0.2461,0.6957,0.4103,0.5161,0.3014,523.6424,1486.4772
6,2,0.3264,0.7826,0.4615,0.5806,0.314,407.7775,1308.3725
7,2,0.2394,1.0,0.4872,0.6552,0.2072,394.8334,1287.9254
8,2,0.3451,0.9091,0.5128,0.6557,0.3053,465.6106,1409.5984
9,2,0.2983,0.8636,0.4872,0.623,0.2674,468.6,1418.3392
10,2,0.2815,0.8182,0.4615,0.5902,0.2806,387.8536,1273.906
11,2,0.3367,0.72,0.4615,0.5625,0.3187,471.4098,1411.8841
12,2,0.2892,0.8889,0.4103,0.5614,0.3241,563.8836,1548.0929
13,2,0.3244,0.8125,0.3333,0.4727,0.3491,344.9256,1203.3687
14,2,0.4442,0.7895,0.3846,0.5172,0.4615,475.6036,1481.2662
