seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0926,0.1818,0.3333,0.2353,0.6289,0.0157,0.0000
1,6,0.1641,0.2222,0.6667,0.3333,0.7745,0.0156,0.0000
2,6,0.2382,0.3333,0.6667,0.4444,0.7997,0.0156,0.0000
3,6,0.5455,0.5455,1.0000,0.7059,0.9790,0.0000,0.0000
4,6,0.2382,0.3333,0.6667,0.4444,0.7997,0.0156,0.0000
5,6,0.1604,0.2727,0.5000,0.3529,0.7164,0.0227,0.0000
6,6,0.3056,0.3571,0.8333,0.5000,0.8789,0.0157,0.0000
7,6,0.2065,0.2857,0.6667,0.4000,0.7913,0.0156,0.0000
8,6,0.2684,0.3125,0.8333,0.4545,0.8704,0.0156,0.0000
9,6,0.2382,0.3333,0.6667,0.4444,0.7997,0.0156,0.0000
10,6,0.4286,0.4286,1.0000,0.6000,0.9664,0.0156,0.0000
11,6,0.2395,0.2778,0.8333,0.4167,0.8620,0.0000,0.0000
12,6,0.2273,0.2632,0.8333,0.4000,0.8578,0.0000,0.0161
13,6,0.0764,0.1333,0.3333,0.1905,0.6120,0.0156,0.0000
14,6,0.3552,0.4167,0.8333,0.5556,0.8873,0.0000,0.0000
