seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.2684,0.3125,0.8333,0.4545,0.8704,15196.5508,7595.5741
1,6,0.3868,0.4545,0.8333,0.5882,0.8915,15284.1467,7642.4041
1,7,0.5000,0.5000,1.0000,0.6667,0.9748,17776.5248,8891.3669
0,7,0.2684,0.3125,0.8333,0.4545,0.8704,17991.0887,8995.5790
0,8,0.2684,0.3125,0.8333,0.4545,0.8704,20923.9661,10510.8776
0,9,0.1827,0.2500,0.6667,0.3636,0.7829,30468.4118,14742.4346
0,10,0.1827,0.2500,0.6667,0.3636,0.7829,34496.5933,15475.8135
0,11,0.1641,0.2222,0.6667,0.3333,0.7745,38334.5717,16728.8596
0,12,0.1729,0.2353,0.6667,0.3478,0.7787,43280.6249,19113.3477
1,9,0.4247,0.5000,0.8333,0.6250,0.8957,30505.4493,12975.6672
0,13,0.1729,0.2353,0.6667,0.3478,0.7787,51879.8253,22743.1820
1,8,0.3868,0.4545,0.8333,0.5882,0.8915,33627.9041,16115.0851
1,10,0.5288,0.6250,0.8333,0.7143,0.9041,33406.5781,14488.5855
0,15,0.2273,0.2632,0.8333,0.4000,0.8578,56401.4029,25283.1718
0,14,0.2531,0.2941,0.8333,0.4348,0.8662,62482.3924,28065.2578
0,16,0.2273,0.2632,0.8333,0.4000,0.8578,66054.2557,29600.8112
1,12,0.4247,0.5000,0.8333,0.6250,0.8957,39680.9174,18778.2451
0,17,0.1564,0.2105,0.6667,0.3200,0.7703,79985.0082,36572.4705
1,13,0.6000,0.6000,1.0000,0.7500,0.9832,46190.9528,22092.5505
1,11,0.5288,0.6250,0.8333,0.7143,0.9041,58431.7710,25610.4870
1,15,0.6667,0.6667,1.0000,0.8000,0.9874,53057.3703,25478.6025
1,14,0.6000,0.6000,1.0000,0.7500,0.9832,58312.5441,28431.1561
1,16,0.6000,0.6000,1.0000,0.7500,0.9832,62446.5327,29970.1597
0,18,0.2273,0.2632,0.8333,0.4000,0.8578,104740.0713,49906.8183
1,17,0.6000,0.6000,1.0000,0.7500,0.9832,75381.3214,36469.1923
2,6,0.2584,0.3636,0.6667,0.4706,0.8039,15061.6914,7504.2122
2,7,0.2827,0.4000,0.6667,0.5000,0.8081,17949.2799,8960.2332
2,8,0.2382,0.3333,0.6667,0.4444,0.7997,21460.8896,10741.9816
2,9,0.2211,0.3077,0.6667,0.4211,0.7955,27630.4542,12834.6352
2,10,0.2211,0.3077,0.6667,0.4211,0.7955,31420.6770,14661.8572
2,11,0.2065,0.2857,0.6667,0.4000,0.7913,35537.2241,16540.6508
1,18,0.5000,0.5000,1.0000,0.6667,0.9748,101146.2860,49390.6580
2,12,0.2382,0.3333,0.6667,0.4444,0.7997,39631.0067,18619.3577
2,13,0.2382,0.3333,0.6667,0.4444,0.7997,46830.3523,22367.6673
