seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.1240,0.2000,0.5000,0.2857,0.6996,22424.5885,8915.4821
1,6,0.1938,0.2667,0.6667,0.3810,0.7871,25102.4524,9554.5451
2,6,0.4710,0.5556,0.8333,0.6667,0.8999,21417.6327,8406.7974
3,6,0.1029,0.1579,0.5000,0.2400,0.6828,25455.7493,9427.3766
4,6,0.1311,0.2143,0.5000,0.3000,0.7038,25502.4072,9457.1396
5,6,0.1073,0.1667,0.5000,0.2500,0.6870,23515.6621,8993.8349
6,6,0.1394,0.2308,0.5000,0.3158,0.7080,25813.4077,9511.9501
7,6,0.0764,0.1333,0.3333,0.1905,0.6120,24043.1969,9483.0796
8,6,0.2727,0.2727,1.0000,0.4286,0.9328,24761.7360,9221.3475
9,6,0.1623,0.1852,0.8333,0.3030,0.8242,24926.8014,9275.2326
10,6,0.1311,0.2143,0.5000,0.3000,0.7038,24423.4072,9331.7535
11,6,0.0483,0.0500,0.1667,0.0769,0.5035,14851.8238,7081.7531
12,6,0.0926,0.1818,0.3333,0.2353,0.6289,25475.2345,9619.8799
13,6,0.0796,0.1429,0.3333,0.2000,0.6162,24346.4293,9410.3517
14,6,0.5000,0.5000,1.0000,0.6667,0.9748,23188.8777,9054.7542
