seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0585,0.1111,0.1667,0.1333,0.5497,32454.1060,11722.7675
1,6,0.2211,0.3077,0.6667,0.4211,0.7955,36212.5741,12262.4968
2,6,0.1061,0.2222,0.3333,0.2667,0.6373,31398.3834,11394.7145
3,6,0.0480,0.0000,0.0000,0.0000,0.4538,36311.5809,12483.8387
4,6,0.0435,0.0345,0.3333,0.0625,0.4314,37460.9487,12500.1402
5,6,0.0504,0.0504,1.0000,0.0960,0.5252,35554.8487,3604.6862
6,6,0.1073,0.1667,0.5000,0.2500,0.6870,37782.5350,12459.3433
7,6,0.0764,0.1333,0.3333,0.1905,0.6120,37407.9161,12162.9034
8,6,0.1641,0.2222,0.6667,0.3333,0.7745,36959.4308,12812.3330
9,6,0.1372,0.1818,0.6667,0.2857,0.7577,37897.9384,12825.1855
10,6,0.0702,0.0746,0.8333,0.1370,0.6562,38841.4192,13039.3728
11,6,0.0764,0.1333,0.3333,0.1905,0.6120,23231.3355,9491.6672
12,6,0.0493,0.0556,0.1667,0.0833,0.5119,38664.6562,12778.5166
13,6,0.0513,0.0545,0.5000,0.0984,0.5315,38184.2157,12118.1944
14,6,0.0552,0.0909,0.1667,0.1176,0.5413,36906.7919,12068.9777
