seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,1,0.0922,0.1364,0.5000,0.2143,0.6702,276.8892,889.2146
0,2,0.1564,0.2105,0.6667,0.3200,0.7703,449.9435,1505.1992
0,3,0.1729,0.2353,0.6667,0.3478,0.7787,643.0695,2179.4848
0,4,0.2064,0.2381,0.8333,0.3704,0.8494,847.2161,2815.7303
0,5,0.2857,0.2857,1.0000,0.4444,0.9370,1062.7132,3477.0914
1,1,0.0598,0.0833,0.3333,0.1333,0.5742,326.1372,973.0049
1,2,0.1493,0.2000,0.6667,0.3077,0.7661,564.0695,1664.2132
1,3,0.1623,0.1852,0.8333,0.3030,0.8242,777.6964,3482.5436
1,4,0.2069,0.2069,1.0000,0.3429,0.9034,1786.5296,5435.2140
1,5,0.2069,0.2069,1.0000,0.3429,0.9034,2293.0920,6807.6904
2,1,0.1122,0.1765,0.5000,0.2609,0.6912,543.2016,1681.5333
2,2,0.1319,0.1739,0.6667,0.2759,0.7535,936.6226,2883.8540
2,3,0.1747,0.2000,0.8333,0.3226,0.8326,1353.3847,4136.4811
2,4,0.1469,0.1667,0.8333,0.2778,0.8116,1735.8872,4809.6298
2,5,0.1049,0.1333,0.6667,0.2222,0.7241,1938.5009,6216.7085
3,1,0.1148,0.1481,0.6667,0.2424,0.7367,463.5590,1537.1830
3,2,0.1568,0.1786,0.8333,0.2941,0.8200,821.6089,2775.0976
3,3,0.2609,0.2609,1.0000,0.4138,0.9286,1186.8249,3542.6674
3,4,0.1935,0.1935,1.0000,0.3243,0.8950,1350.2016,4419.9890
3,5,0.1935,0.1935,1.0000,0.3243,0.8950,1878.8610,4596.3215
4,1,0.2500,0.2500,1.0000,0.4000,0.9244,352.6725,1043.5816
4,2,0.1683,0.1923,0.8333,0.3125,0.8284,595.8589,1736.9980
4,3,0.1122,0.1250,0.8333,0.2174,0.7696,843.1628,2400.0583
4,4,0.1122,0.1250,0.8333,0.2174,0.7696,1022.1459,2994.5410
4,5,0.1006,0.1111,0.8333,0.1961,0.7486,1253.5676,3668.6646
