seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
7,6,0.2273,0.2632,0.8333,0.4000,0.8578,1417.4405,5078.0899
3,6,0.0796,0.1111,0.5000,0.1818,0.6492,3101.2383,7487.8643
8,6,0.0690,0.1111,0.3333,0.1667,0.5994,3742.4184,7909.0667
6,6,0.2727,0.2727,1.0000,0.4286,0.9328,4000.7771,8456.1206
0,6,0.2163,0.2500,0.8333,0.3846,0.8536,4172.2317,8313.8618
2,6,0.1683,0.1923,0.8333,0.3125,0.8284,4505.2457,8684.5089
9,6,0.3285,0.3846,0.8333,0.5263,0.8831,5304.6836,9085.5517
1,6,0.1892,0.2174,0.8333,0.3448,0.8410,5607.6762,9561.6284
11,6,0.1240,0.2000,0.5000,0.2857,0.6996,6155.9927,10585.3552
4,6,0.2000,0.2000,1.0000,0.3333,0.8992,6756.8344,11020.2806
10,6,0.2222,0.2222,1.0000,0.3636,0.9118,6702.8509,11107.2569
12,6,0.1493,0.2000,0.6667,0.3077,0.7661,7211.0389,11052.3037
5,6,0.0637,0.0952,0.3333,0.1481,0.5868,7839.9836,11929.0717
13,6,0.2273,0.2632,0.8333,0.4000,0.8578,4871.6387,8591.1603
7,15,0.2609,0.2609,1.0000,0.4138,0.9286,4689.2911,16741.3054
14,6,0.1892,0.2174,0.8333,0.3448,0.8410,5308.4362,9178.4672
3,15,0.0881,0.1081,0.6667,0.1860,0.6947,10260.1517,25246.8009
0,15,0.1683,0.1923,0.8333,0.3125,0.8284,14044.1447,28228.8505
8,15,0.1148,0.1481,0.6667,0.2424,0.7367,12658.6514,26497.2667
2,15,0.1765,0.1765,1.0000,0.3000,0.8824,15009.7649,28804.8109
6,15,0.1875,0.1875,1.0000,0.3158,0.8908,13495.0471,28529.7669
1,15,0.1683,0.1923,0.8333,0.3125,0.8284,0.1481,4436.3114
9,15,0.1517,0.1724,0.8333,0.2857,0.8158,17725.4143,30372.1214
11,15,0.0817,0.1154,0.5000,0.1875,0.6534,19232.8593,33058.7639
4,15,0.1714,0.1714,1.0000,0.2927,0.8782,22217.3232,36613.9454
12,15,0.0776,0.1071,0.5000,0.1765,0.6450,22569.1764,34555.3427
10,15,0.1469,0.1667,0.8333,0.2778,0.8116,22433.9932,36974.0459
5,15,0.1020,0.1290,0.6667,0.2162,0.7199,26079.6306,39533.4651
14,15,0.1875,0.1875,1.0000,0.3158,0.8908,16662.1849,28720.1523
13,15,0.2069,0.2069,1.0000,0.3429,0.9034,0.1620,23303.9281
